Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
2blobs_spray,Uniform,K-Means,Single,0.05,0.6221 (0.01)
2blobs_spray,Uniform,K-Means,Complete,0.05,0.5722 (0.06)
2blobs_spray,Uniform,Agglomerative,Average,0.05,0.5959 (0.07)
2blobs_spray,Uniform,Agglomerative,Single,0.05,0.606 (0.02)
2blobs_spray,Uniform,Agglomerative,Complete,0.05,0.5594 (0.06)
2blobs_spray,Uniform,MultiMember,Average,0.05,0.6508 (0.01)
2blobs_spray,Uniform,MultiMember,Single,0.05,0.6075 (0.01)
2blobs_spray,Uniform,MultiMember,Complete,0.05,0.5823 (0.07)
2blobs_spray,Uniform,K-Means,Average,0.1,0.4864 (0.03)
2blobs_spray,Uniform,K-Means,Single,0.1,0.4197 (0.21)
2blobs_spray,Uniform,K-Means,Complete,0.1,0.4793 (0.04)
2blobs_spray,Uniform,Agglomerative,Average,0.1,0.4643 (0.06)
2blobs_spray,Uniform,Agglomerative,Single,0.1,0.5188 (0.01)
2blobs_spray,Uniform,Agglomerative,Complete,0.1,0.4784 (0.08)
2blobs_spray,Uniform,MultiMember,Average,0.1,0.5275 (0.01)
2blobs_spray,Uniform,MultiMember,Single,0.1,0.5127 (0.02)
2blobs_spray,Uniform,MultiMember,Complete,0.1,0.4834 (0.06)
2blobs_spray,Uniform,K-Means,Average,0.15,0.4316 (0.01)
2blobs_spray,Uniform,K-Means,Single,0.15,0.0065 (0.0)
2blobs_spray,Uniform,K-Means,Complete,0.15,0.4412 (0.03)
2blobs_spray,Uniform,Agglomerative,Average,0.15,0.4078 (0.05)
2blobs_spray,Uniform,Agglomerative,Single,0.15,0.3092 (0.15)
2blobs_spray,Uniform,Agglomerative,Complete,0.15,0.3354 (0.16)
2blobs_spray,Uniform,MultiMember,Average,0.15,0.4032 (0.03)
2blobs_spray,Uniform,MultiMember,Single,0.15,0.0135 (0.01)
2blobs_spray,Uniform,MultiMember,Complete,0.15,0.4138 (0.06)
2blobs_spray,Uniform,K-Means,Average,0.25,0.3622 (0.02)
2blobs_spray,Uniform,K-Means,Single,0.25,0.2034 (0.15)
2blobs_spray,Uniform,K-Means,Complete,0.25,0.2671 (0.11)
2blobs_spray,Uniform,Agglomerative,Average,0.25,0.3171 (0.02)
2blobs_spray,Uniform,Agglomerative,Single,0.25,0.3027 (0.14)
2blobs_spray,Uniform,Agglomerative,Complete,0.25,0.347 (0.06)
2blobs_spray,Uniform,MultiMember,Average,0.25,0.3225 (0.03)
2blobs_spray,Uniform,MultiMember,Single,0.25,0.2084 (0.16)
2blobs_spray,Uniform,MultiMember,Complete,0.25,0.2775 (0.06)
2blobs_spray,Quantization,K-Means,Average,0,0.7453 (0.03)
2blobs_spray,Quantization,K-Means,Single,0,0.6933 (0.04)
2blobs_spray,Quantization,K-Means,Complete,0,0.6807 (0.05)
2blobs_spray,Quantization,Agglomerative,Average,0,0.7246 (0.03)
2blobs_spray,Quantization,Agglomerative,Single,0,0.708 (0.02)
2blobs_spray,Quantization,Agglomerative,Complete,0,0.737 (0.03)
2blobs_spray,Quantization,MultiMember,Average,0,0.7072 (0.04)
2blobs_spray,Quantization,MultiMember,Single,0,0.7195 (0.0)
2blobs_spray,Quantization,MultiMember,Complete,0,0.6912 (0.02)
2blobs_spray,Quantization,K-Means,Average,0.02,0.7338 (0.04)
2blobs_spray,Quantization,K-Means,Single,0.02,0.7294 (0.03)
2blobs_spray,Quantization,K-Means,Complete,0.02,0.6519 (0.04)
2blobs_spray,Quantization,Agglomerative,Average,0.02,0.7898 (0.03)
2blobs_spray,Quantization,Agglomerative,Single,0.02,0.751 (0.04)
2blobs_spray,Quantization,Agglomerative,Complete,0.02,0.7151 (0.01)
2blobs_spray,Quantization,MultiMember,Average,0.02,0.7556 (0.05)
2blobs_spray,Quantization,MultiMember,Single,0.02,0.7216 (0.01)
2blobs_spray,Quantization,MultiMember,Complete,0.02,0.7012 (0.03)
2blobs_spray,Quantization,K-Means,Average,0.05,0.761 (0.03)
2blobs_spray,Quantization,K-Means,Single,0.05,0.6949 (0.01)
2blobs_spray,Quantization,K-Means,Complete,0.05,0.6678 (0.05)
2blobs_spray,Quantization,Agglomerative,Average,0.05,0.7844 (0.02)
2blobs_spray,Quantization,Agglomerative,Single,0.05,0.2742 (0.26)
2blobs_spray,Quantization,Agglomerative,Complete,0.05,0.7455 (0.06)
2blobs_spray,Quantization,MultiMember,Average,0.05,0.7345 (0.05)
2blobs_spray,Quantization,MultiMember,Single,0.05,0.7213 (0.01)
2blobs_spray,Quantization,MultiMember,Complete,0.05,0.6847 (0.06)
2blobs_spray,Quantization,K-Means,Average,0.1,0.734 (0.04)
2blobs_spray,Quantization,K-Means,Single,0.1,0.7135 (0.01)
2blobs_spray,Quantization,K-Means,Complete,0.1,0.6764 (0.05)
2blobs_spray,Quantization,Agglomerative,Average,0.1,0.7485 (0.02)
2blobs_spray,Quantization,Agglomerative,Single,0.1,0.7195 (0.0)
