Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
2blobs_spray,Uniform,K-Means,Single,0.05,0.484 (0.23)
2blobs_spray,Uniform,K-Means,Complete,0.05,0.5258 (0.04)
2blobs_spray,Uniform,Agglomerative,Average,0.05,0.6251 (0.01)
2blobs_spray,Uniform,Agglomerative,Single,0.05,0.6056 (0.0)
2blobs_spray,Uniform,Agglomerative,Complete,0.05,0.5216 (0.11)
2blobs_spray,Uniform,MultiMember,Average,0.05,0.6096 (0.03)
2blobs_spray,Uniform,MultiMember,Single,0.05,0.6095 (0.01)
2blobs_spray,Uniform,MultiMember,Complete,0.05,0.5843 (0.05)
2blobs_spray,Uniform,K-Means,Average,0.1,0.5014 (0.05)
2blobs_spray,Uniform,K-Means,Single,0.1,0.3426 (0.26)
2blobs_spray,Uniform,K-Means,Complete,0.1,0.47 (0.05)
2blobs_spray,Uniform,Agglomerative,Average,0.1,0.2675 (0.22)
2blobs_spray,Uniform,Agglomerative,Single,0.1,0.0865 (0.15)
2blobs_spray,Uniform,Agglomerative,Complete,0.1,0.1993 (0.17)
2blobs_spray,Uniform,MultiMember,Average,0.1,0.5004 (0.07)
2blobs_spray,Uniform,MultiMember,Single,0.1,0.301 (0.25)
2blobs_spray,Uniform,MultiMember,Complete,0.1,0.4922 (0.06)
2blobs_spray,Uniform,K-Means,Average,0.15,0.4213 (0.05)
2blobs_spray,Uniform,K-Means,Single,0.15,0.1084 (0.18)
2blobs_spray,Uniform,K-Means,Complete,0.15,0.4291 (0.04)
2blobs_spray,Uniform,Agglomerative,Average,0.15,0.224 (0.19)
2blobs_spray,Uniform,Agglomerative,Single,0.15,0.3547 (0.17)
2blobs_spray,Uniform,Agglomerative,Complete,0.15,0.38 (0.06)
2blobs_spray,Uniform,MultiMember,Average,0.15,0.4722 (0.02)
2blobs_spray,Uniform,MultiMember,Single,0.15,0.3272 (0.2)
